Establishment,Type,Area,Location,Address,Description,Opening hours,Phone,Email,Website,Social media
The Painted Dog,Restaurant,Outside Nairobi,Nanyuki,"Nanyuki Marura Road, Nanyuki

","The Painted Dog Bar and Restaurant is located in Nanyuki town right on the equator. The perfect lunch stopover if you are heading to Ol Pejeta, Samburu or the greater Laikipia region. Great food with the best burgers, wings and pizzas in town great ambiance and birdlife with a view of the Lilypond. The perfect destination for lone travelers, friends and families",,0799899970,thepainteddogbar@gmail.com,,Thepainteddognanyuki
Turtle Bay,Hotel,Outside Nairobi,Watamu,"Off Turtle Bay Road, Watamu, Kenya


","Turtle Bay is situated on 200 meters of white sandy beach on the edge of the internationally acclaimed Watamu National Marine Park. The hotel buildings are set in 10 acres of tropically landscaped gardens with 145 rooms. This safe and secure resort boasts three restaurants, three bars, an entertainment lounge, two swimming pools, a supervised Kid’s Club, and as such makes up one of the most extensive ALL INCLUSIVE properties in Kenya. Perfect for families, active holidays or relaxing breaks.",,0737 530 955/ 0701 677 119 / 0721 830 604,special@turtlebay.co.ke,www.turtlebaykenya.com,
Born to be Unstoppable,Hotel,Nairobi,Online,Online,"Known internationally as a motivational speaker and the founder of the Maji Mazuri organization, Wanjiku Kironyo has been described as a remarkable and inspiring woman. As an indomitable force in the lives of thousands of forgotten Kenyan people, Wanjiku is a woman who strives to change the mindset of those who see poverty and deprivation as their life destiny. This is the story of her deeply felt personal and professional struggle against neglect and human deprivation, a battle she is determined to win.
*Book titled “Born to be
Unstoppable”.
Retails for KES1,200/-",,0740214257 / 0721818788 ,info@wanjikukironyo.com ,www.wanjikukironyo.com,
Extreme Clean,Hotel,Nairobi,Online,Garden City Mall                       The Hub Mall                         Thika Road Mal,"Its is our mission to provide the highest quality express car wash and exceptional customer service to give you piece of mind and keep your ride looking prestigious. All Extreme Clean Car Wash Outlets are equipped with the best of German machinery and we only use car friendly chemicals.
We provide:
(1) Exterior Wash
(2) Interior detailing
(3) Dry and Wet Vacuuming
(4) Tire glossing
(5) Under body Wash
(6) Assorted car care products","
","Find a branch near you, call: 0800 724448",info@extremeclean.co.ke,www.extremeclean.co.ke,
Heri Heights Hotel,Hotel,Nairobi,Aboretum,"Heri Heights Apartment Hotel
Kolobot Drive, off Arboretum Road


","We offer distinctive hospitality featuring a choice of 46 apartments and a restaurant, the Palm Cafe that serves breakfast, lunch and dinner on an a la carte or pre-set menu basis. The restaurant is also open to non- resident clientele. Guests can enjoy the use of our swimming pool and the Sandal wood Fitness Centre at 250 for children and 500 for adults.",,020 232 1932/3 / 0738321932,reservations@heriheights.com,www.heriheights.com,
Ibis Styles Hotel,Hotel,Nairobi,Westlands,"ibis Styles - Nairobi, Westlands
Rhapta Road, Nairobi, Kenya.
","Our core proposition is to offer a great night's sleep at a great price. The hotel features space-efficient, streamlined rooms focusing on high-quality basics: 5 star beds and powerful hot showers.",,020 5147500 / 020 7757000 / 0713 120539,,accorhotels.com,
Ideas Unplugged,Hotel,Nairobi,Gigiri,"New Muthaiga Shopping Mall, Suite 12
","Founded in July 2009, we have gr own to become a formidable media out it. We specialize in photography, video and content development. We offer these services to families, individuals and couples to capture their treasured memories.
The Free Anniversary Photo Shoot will include:
- 2 Hours Studio Time.
- Unlimited change of clothes
during the allocated studio time.
- 2 (8 *12) photo mount.
- 1 (6*8) photo mount.
- Edited soft copied on DVD.",,0755659845,Ideasunpluggedkenya@gmail.com,www.ideasunplugged.co.ke,
Skylax Tours,Hotel,Nairobi,Online,"Karen Plains Arcade-2nd Floor


","At Skylax Safaris, we have a dedicated and experienced team, committed to ensure that our clients realize the true African and International dream holidays as well as tailored event solutions that bring exceptional results and value for money. Our packages are tailor-made to suit your every need based on your taste, budget and preference. Skylax Safaris have something for everyone.",,"0715212258, 0718310546",skylaxsafaris@gmail.com  info@skylaxsafaris.com,,
Slik King Tours,Hotel,Nairobi,Online,Online,"Adventure Starts Here! Slik Kingz Tours and Travel specializes in holiday, travel, and tour solutions. We offer tailored solutions aimed at optimizing companies and customers' mobility. Slik Kingz has an award points program that allows all its members and partners to earn redeemable points. In the program, one can redeem their points for free holiday tours, hotel bookings, a luncheon, a taxi ride, and many of the services offered by our partners.",,0706 574860 / 739 353505,,www.slikkingztourstravel.com,
Divine Skincare,Spas and Salons,Nairobi,"Lavington, Thika Road, Gigiri","Aromatics Spa, Lavington
Two Rivers, Runda
The Hub Mall, Karen                            
","With over 25 years of experience the DIVINE SKINCARE CLINIC offers state of the art facilities and advanced skin care and beauty treatments. Our objective is not only to deliver visible and measurable results but also to pamper and indulge. We have a team of highly-trained skin practitioners and therapists who will recommend the best possible treatment to suit your individual needs.
",,0735 901029,skincare@d-vinegroup.net,,
D'vine,Spas and Salons,Nairobi,"Lavington, Thika Road, Gigiri","The Arbor, Lavington
Aromatics Spa, Lavington
Two Rivers, Runda
The Hub Mall, Karen

","A luxury skincare, body care and spa brand handmade in Kenya using the healing essences of some of the best available natural oils, butters and botanicals alongside cutting-edge technology. Our products have been carefully and thoughtfully formulated. They have rich and luxurious textures and are infused with wonderful aromas. Each product is designed to reveal radiantly beautiful and impeccably smooth skin.",,0735 901029,skincare@d-vinegroup.net,,
Elizabeth Beauty Spot,Spas and Salons,Nairobi,Karen,"Karen Park- Ngong Road, opposite St.
Christopher’s School

","Haven of relaxation and tranquility where beauty and hair gurus reside. Our services include facials, body massages, hot stone, body wraps, body scrubs, G5 slender tones, depilatories e.g waxing, among others. Hair coloring, hot-oil, moisturizing, protein treatments, hair-cuts for all types of hair for ladies, gents and kids, braiding and weaving. We also do pedicures and manicures, gel nails, acrylic nails and gel polish applications. It’s definitely a must spot. Call and book to avoid disappointments.",,0716 713 649/ 0733 719 196,ebeautyspot@gmail.com,,
Healthland Spa,Spas and Salons,Nairobi,Ngong Road,"Kabarnet Road, off Ngong Road
We are Next to St. Nicholas
Senior School
Before: Sudan Embassy
Opposite: Nursing Council of Kenya

","Health Land Spa has been designed with total pampering and indulgence in mind.It is a sanctuary where Men & Women can relieve their stress states with tranquillity. We offer complete privacy, with a team of professionals who are dedicated to bringing Men, Women and Spa together in a comfortable & serene atmosphere that clients can truly own.
MASSAGES inclusive of Free
Wine and Free Herbal Tea.
3,300/- Swedish Massage
3,500/- Relexology
3,500/- Harmony Massage
3,500/- Indian Massage
4,000/- Deep Tissue Massage
5,000/- Aromatherapy
5,000/- Hot Stone Massage",,0722763477/0733903010/0720246527,,www.healthlandspa.co.ke,
Leo's,Spas and Salons,Nairobi,Westlands,"Find us at any one of our three
branches:                                                  ~Fourth Floor Victoria Plaza, Parklands Road
~Ground Floor, Garden City Mall, Thika Road
~Ground Floor, Two Rivers Mall, Limuru Road 
","Hello Gorgeous and Hello Handsome. We invite you to LEO to join in the experience. From the moment you walk in, we will put your mind at ease with our highly trained staff, beautiful interior and caring attitude. The LEO experience is so much more than beauty. We focus on the health and wellbeing of our clients. The Health of your hair, skin and nails is of the utmost importance to us. You will walk out of our doors feeling refreshed, beautiful and well taken care of. Welcome and join the LEO Family.

Opening Hours:
7.00 am - 10.00 pm To Book, Call",,"0702592944, 0715815441, 0701299296, 0708440797",,,
Rienna,Spas and Salons,Nairobi,Thika Road,"Toto Drive
Garden Estate Road
","Riena Kids Spa and Salon was established in 2012 to meet the increasing demand of a child friendly facility. We started out as an exclusive children only facility but soon enough parents were requesting for services hence the opening of the all inclusive Family Salon. Riena is considered an upscale full service beauty salon. We offer a wide range of services that include and not limited to: Haircuts, relaxers, perms, colors, shampoo, conditioning, curling, reconstructing, weaving, waving. Nails: Manicures, pedicures, polish, sculptured nails. Body Care: Facials, body waxing, massages. Kids: They are our first love. The space is designed to make them comfortable and make the salon experience great. Appointments required to avoid dissapointment.",,0726 883471 / 0731 526254,,,
Solace Resort,Spas and Salons,Nairobi,Langata ,"Weston Hotel, Health Club 2nd Floor
Opp Wilson Airport, Langata Road


","Solace Lifestyle & Wellness is a Holistic healing destination in Africa with a new approach to healthcare. We emphasize on taking healthy lifestyle changes as a way to promote health & prevent disease through modification and empowerment programs. We offer: Wellness service i.e health risk assessment, coaching, nutrition and body treatments Wellness programs i.e weight management, lifestyle modification programs Wellness retreats i.e cleansing and detox retreats Corporate Wellness.",,07 09 995084,info@solaceresorts.co.ke,www.solaceresorts.co.ke,
Timeless,Spas and Salons,Nairobi,Lavington,"6th floor- Lavington Mall,
James Gichuru Road, Nairobi


","Welcome to timeless medical spa. We make it possible to have and maintain radiant skin using safe, effective, non-invasive cutting edge technology and spa treatments. This combination allows us to provide you with the ultimate anti- aging experience skin enrichment services such as skin tightening, microdermabrasion, electrolysis facial hair removal, lumicell non- surgical face lift oxygen facial, skin tag removal, acne treatment and corrective herbal peel.
LUMICELL NON SUGICAL BODY CONTOURING -is a non invasive body shaping option, that blasts fat and cellulite without major surgery. The machine dissolves excess fat that can not be beat withdiet and exercise.",,0771987813,timelessmedspake@gmail.com,www.timelessmedicalspakenya.com,
Urban Hair Salon,Spas and Salons,Nairobi,CBD,"Barclays Plaza, Loita Street
Nairobi, Kenya
","Thoughts, ideas and visions all begin in the mind. The creation of Urban Hair Studio is proof of all this. It is a full-service beauty salon dedicated to consistently providing high customer satisfaction. We do so by rendering excellent services, quality products, and furnishings, in an enjoyable atmosphere. You get all this at an acceptable price/value relationship. Our aim is to maintain a friendly, fair and a high level of artistic creativity in our working environment, which respects diversity, ideas and hard work in this craft of cosmetology.",,0710472943,,,
